CustomerName,CustomerPhNo,CustomerAddress,Password
Alejandro,2701000759,"West Jordan",
Andrew,3679518407,Concord,
Brendan,5211925687,Gilbert,
Brosina,6294416804,"Los Angeles",
Claire,9167035808,Henderson,
Darren,9634610812,"New Albany",
Darrin,7495777225,"Los Angeles",
Emily,3321567063,Orem,
Eric,1539245596,"Los Angeles",
Erin,6313200621,Melbourne,
Gene,1513059551,Richardson,
Harold,3942743838,"Fort Worth",
Henry,3643076579,"New York City",
Irene,7463638317,Seattle,
Janet,9187461791,"New York City",
Joel,4867138368,Memphis,
Karen,4512086803,Springfield,
Ken,6236589753,Fremont,
Kunst,1852485256,"Los Angeles",
Lena,7043338152,Dover,
Linda,5657972697,Naperville,
Matt,1746360832,Houston,
Odella,3417032732,Eagan,
Patrick,3583315433,Westland,
Paul,7008946131,Chicago,
Pete,1346215110,Madison,
Ruben,3036890144,"Los Angeles",
Sandra,2809077513,Philadelphia,
Sean,3795373234,"Fort Lauderdale",
Steve,8172581192,Houston,
Ted,2644790016,Troy,
Tracy,6567072362,Philadelphia,
Zuschuss,7778282522,"San Francisco",
